year,CA,Volume,Growth_%,Avg_Basket_proxy
2014,14292.217,14292.217,,1.0
2015,15843.064,15843.064,10.850989737981177,1.0
2016,18031.174666667,18031.174666667,13.811158413972201,1.0
2017,13756.556666797,13756.556666797,-23.70681932205002,1.0
2018,16433.015,16433.015,19.45587400997615,1.0
2019,16547.355333334,16547.355333334,0.69579643987423,1.0
