category,Share_%
n02be,47.23989100951075
n05b,14.531674300685497
r03,10.833590700231559
m01ab,8.475101921990577
m01ae,6.3339525265689325
r06,6.309328788515296
n02ba,5.215223427195896
n05c,1.0612373253014904
